"state","income16","income14","income12","gopshare10","gopshare12","gopshare14","gopshare16","VEPtotal14","VEPtotal12","VEPtotal10","hispsh16","hispsh14","hispsh12","ballots16","VEP16","ballots14","VEP14","ballots12","VEP12","religsh"
"Massachusetts","72266","63151","63656",0.377000367996351,0.251108349161751,0.172977063294545,0.161365970355972,0.447,0.662,0.494,0.108532109152832,0.10241763504104,0.0960897601513277,3378801,4948028,2186789,4896296,3184196,4809675,0.1
"Michigan","57091","52005","50015",0.541545469770992,0.472684878031544,0.491244998373959,0.50556882414,0.432,0.654,0.451,0.0478708525066602,0.0462238740648218,0.0442948677533508,4874619,7420628,3188956,7383958,4780701,7312725,0.26
"Minnesota","70218","67244","61795",0.589445324226777,0.581872014106349,0.480987459057263,0.577864418154069,0.506,0.764,0.558,0.0506389074180479,0.0490864859433014,0.0470583828855611,2968281,3973204,1992613,3935121,2950780,3861598,0.2
"Mississippi","41099","35521","36641",0.54706602572216,0.631044103627426,0.588660599481744,0.602110539786647,0.297,0.597,0.378,0.0290058316762523,0.0281713407799701,0.0264973278249911,1209357,2191241,631858,2181131,1285584,2166825,0.42
"Missouri","55016","56630","49764",0.609096841368391,0.566591822355738,0.620085465975976,0.605839134236495,0.336,0.626,0.457,0.0391580307182707,0.0375555981709587,0.0354626134972627,2811549,4517925,1509025,4493722,2836828,4432957,0.37
"Montana","57075","51102","45088",0.640942146327101,0.554874274283406,0.578257379574031,0.580849500383694,0.475,0.635,0.484,0.0340446613269024,0.0317000705505927,0.0292535716628734,516901,804250,373831,787748,491966,774476,0.32
"Nebraska","59374","56870","52196",0.704573478550407,0.642416004867219,0.647877578176979,0.716078065720898,0.414,0.611,0.387,0.101954063741356,0.0972442050272228,0.0914761950105784,860573,1343821,552115,1334453,804245,1316915,0.26
"Nevada","55431","49875","47333",0.52927559670855,0.502157489602427,0.591912707105073,0.495026420742245,0.296,0.565,0.414,0.278425188752214,0.272325230737142,0.265451497002445,1125429,1961587,552546,1867644,1016664,1800969,0.24
"New Hampshire","76260","73397","67819",0.534470832907796,0.477558419825886,0.484276270819093,0.484328349058628,0.483,0.709,0.461,0.0327682875292937,0.0305063550806203,0.0283535007142456,755850,1042795,495565,1025862,718700,1013420,0.14
"New Jersey","68468","65243","66692",0.50734821485662,0.44356306746891,0.48969905165518,0.458375244666544,0.325,0.622,0.377,0.192904434725492,0.185904267726377,0.177132117215957,3957303,6013656,1955042,6014127,3683638,5918182,0.14
"New Mexico","48451","46686","43424",0.484177517510236,0.44844916376862,0.470025246011834,0.439870983621689,0.361,0.548,0.447,0.478151352903414,0.470263955559508,0.463472498001496,804043,1464515,522342,1449503,786522,1436363,0.25
"New York","61437","54310","47680",0.382740367911328,0.307767728232513,0.412873085259416,0.337518131858517,0.29,0.535,0.363,0.185908719079828,0.181667043476353,0.176607017430808,7786881,13604645,3930310,13553426,7128852,13324107,0.11
"North Carolina","53764","46784","41553",0.544655776421369,0.490679651862784,0.557599848855897,0.533188002493253,0.412,0.654,0.398,0.0890029482453574,0.0870319745692615,0.0834317084560556,4769640,7352501,2939767,7143737,4542488,6947954,0.36
